target,horizon,model,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,crps_mean,crps_std,picp_mean,picp_std,pinaw_mean,pinaw_std
DAU,20,GUMNet_Patch,3,13.085680000000002,0.09919384878106077,26.364303666666668,0.14955655328447975,9.207600000000001,0.10174531930265834,10.091337666666666,0.049305223469053625,78.67999999999999,0.502294734194978,0.10866866666666668,0.0004913413613093509
DAU,20,GUMNet_Wavelet,3,13.466294333333332,0.3263873556946304,26.642262,0.4646275209337028,9.500233333333334,0.20125293372602937,10.209335000000001,0.17503824264714288,80.03,0.2651414716712655,0.11861833333333334,0.0022438824241330746
DAU,20,GUMNet_iTrans,3,14.166669666666666,0.275616286487815,28.24987333333333,0.732979038090676,9.8641,0.1876816719874372,10.477487666666667,0.30435553768961215,79.42333333333333,0.6069870948655594,0.12696833333333332,0.004120055865317032
DAU,20,NBEATS,3,13.455597333333332,0.30716090767109827,27.187978666666666,0.7905484914800179,9.5076,0.2123495231923062,10.485394666666666,0.26900883002298165,71.55,1.015283211719764,0.08647866666666666,0.000953629033394717
DAU,20,NHits,3,13.702290666666665,0.4452038441886293,27.312642,0.943149154687635,9.727466666666666,0.3438331038939286,10.526182333333333,0.36047558691585946,72.21333333333332,1.8178100377468815,0.09116033333333333,0.0012382125557969968
DAU,20,PatchTST,3,13.286486666666667,0.2328210977259859,26.689445000000003,0.6914793341734794,9.369,0.10536284924013781,10.302729999999999,0.3041993079002648,72.44333333333333,0.6686055139866324,0.08823333333333333,0.0006320319084772001
DAU,20,TFT,3,14.894086333333334,0.6952810230304955,28.088459666666665,1.1167999293200774,10.675366666666667,0.5322184921001277,11.095998666666667,0.5374713020546609,69.94333333333333,3.1146802939199634,0.11144666666666668,0.0019202433005568117
DAU,20,TimesNet,1,16.647706,,31.8049,,11.7138,,13.098306,,63.28,,0.094447,
DAU,60,DLinear,4,14.399568,2.4422758743723723,30.9023405,5.26526375112773,11.0933,1.6895584058169357,11.58308975,2.2170582691232044,84.425,4.763755521294803,0.16268975,0.03155728380131389
DAU,60,GUMNetHet,3,15.127237,0.1850184233610264,33.743919,0.0935175842128094,11.5804,0.24877437569010188,12.179959666666667,0.04360849965698642,83.55,1.2209832103677718,0.14830933333333332,0.0019088306193409072
DAU,60,GUMNet_Adaptive,3,15.165951,0.29755690709341653,33.28491466666667,0.24466894049374974,11.694433333333334,0.30181248041347264,12.301530666666666,0.15337805239450997,83.83,1.9178894650109508,0.154466,0.002547135646171993
DAU,60,GUMNet_Decomp,3,15.430788333333334,0.22583347898470046,33.486941,0.2941277489238331,12.0657,0.28335638337612956,12.229826333333333,0.22076117205326937,82.78,2.194060163258967,0.14802,0.0020003937112478684
DAU,60,GUMNet_Fusion,3,14.249366666666667,0.3906486957924389,32.101671,0.752735559508781,10.977533333333334,0.2644480352230535,11.444609333333332,0.4227959429728866,85.03,1.130132735566934,0.15853333333333333,0.00303870635852385
DAU,60,GUMNet_Mamba,3,15.840756666666666,0.7840814687928385,33.87757933333334,1.6486593552733466,12.274766666666666,0.5550651523319883,12.502598666666666,0.6001283090792611,83.29333333333334,1.7251183534277676,0.1551796666666667,0.001141168845234291
DAU,60,GUMNet_Patch,3,14.853316,0.16922679671080465,33.106023,0.1276145109342967,11.389533333333333,0.18922701533695713,11.934752000000001,0.01221858801171385,85.48666666666668,0.5054041287260465,0.14747633333333335,0.001024078773011808
DAU,60,GUMNet_Wavelet,3,15.374019666666667,0.39467116392553053,34.148422000000004,1.4306105328582577,11.825933333333333,0.28028689468709267,12.143659,0.3312019070793526,84.31666666666666,0.8580404030891153,0.14739666666666665,0.0011589798675271782
DAU,60,GUMNet_iTrans,3,14.845027333333334,0.10097314698638116,33.08081333333333,0.16016683939671358,11.368900000000002,0.0985805254601543,12.038457,0.10631866229877132,84.02,0.9953391381835631,0.15510533333333335,0.0010987084842365154
